序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
585,合立方4室1厅395万,2017-01-13,合立方,昌平,立水桥,, 五至六环,395,72838,54.23,2010年建/板塔结合,4室1厅,高楼层/共11层,南北,简装,http://bj.lianjia.com/ershoufang/101101071304.html
586,电梯房，采光充足，业主诚心出售,2017-01-13,燕城北苑,昌平,北七家,, 五至六环,437,36063,121.18,2010年建/板塔结合,3室2厅,高楼层/共10层,南北,精装,http://bj.lianjia.com/ershoufang/101101071287.html
587,模式口东里温馨两居室低楼层东西通透,2017-01-13,模式口东里,石景山,苹果园,, 五至六环,270,43318,62.33,1990年建/板楼,2室1厅,低楼层/共6层,东西,其他,http://bj.lianjia.com/ershoufang/101101071282.html
588,顺驰领海2012年新楼，小区中间位置，中上楼层，精装修,2017-01-13,顺驰领海,大兴,黄村北,, 五至六环,685,53105,128.99,2012年建/板塔结合,3室2厅,高楼层/共18层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101071275.html
589,和谐家园一区3室1厅580万,2017-01-13,和谐家园一区,昌平,回龙观,, 五至六环,580,46400,125,2006年建/板楼,3室1厅,高楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101071263.html
590,望京西园二区2室1厅600万,2017-01-13,望京西园二区,朝阳,望京,, 四至五环,600,66299,90.5,1997年建/板楼,2室1厅,高楼层/共6层,西南,精装,http://bj.lianjia.com/ershoufang/101101071260.html
591,花园北路乙28号院2室1厅500万,2017-01-13,花园北路乙28号院,海淀,牡丹园,, 三至四环,500,90416,55.3,1985年建/板楼,2室1厅,中楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101071250.html
592,福城上上城五期2室1厅215万,2017-01-13,福城上上城五期,燕郊,燕郊城区,, ,215,27386,78.51,2009年建/板楼,2室1厅,低楼层/共28层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101071235.html
593,京贸小区正规三居室业主诚意出售,2017-01-13,京贸中心,通州,武夷花园,, 五至六环,660,40979,161.06,2004年建/塔楼,3室1厅,中楼层/共24层,东南,简装,http://bj.lianjia.com/ershoufang/101101071217.html
594,石园北区2室1厅275万,2017-01-13,石园北区,顺义,顺义城,, 六环外,275,39529,69.57,2000年建/板楼,2室1厅,中楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101071208.html
595,新桥家园2室2厅450万,2017-01-13,新桥家园,门头沟,大峪,, 五至六环,450,38243,117.67,2003年建/塔楼,2室2厅,高楼层/共24层,西南西,精装,http://bj.lianjia.com/ershoufang/101101071206.html
596,嘉瑞通小区3室2厅350万,2017-01-13,嘉瑞通小区,房山,良乡,, 五至六环,350,29272,119.57,2006年建/塔楼,3室2厅,低楼层/共15层,东南西北,精装,http://bj.lianjia.com/ershoufang/101101071204.html
597,东恒时代三期1室1厅430万,2017-01-13,东恒时代三期,朝阳,十里堡,, 四至五环,430,69355,62,2008年建/塔楼,1室1厅,中楼层/共27层,西,平层/精装,http://bj.lianjia.com/ershoufang/101101071192.html
598,运河湾4室0厅880万,2017-01-13,运河湾,通州,武夷花园,, 五至六环,880,64764,135.88,2009年建/板塔结合,4室0厅,中楼层/共28层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101071165.html
599,吕营嘉园2室2厅440万,2017-01-13,吕营嘉园,朝阳,十里河,, 三至四环,440,50069,87.88,2003年建/板楼,2室2厅,中楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101071156.html
600,南向一居室，满五公房，采光好，无遮挡,2017-01-13,芍药居5号院,朝阳,芍药居,, 三至四环,390,97769,39.89,1986年建/板楼,1室1厅,中楼层/共5层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101071124.html
601,和义西里三区2室1厅320万,2017-01-13,和义西里三区,丰台,和义,, 四至五环,320,53369,59.96,2004年建/板楼,2室1厅,高楼层/共6层,南北,跃层/简装,http://bj.lianjia.com/ershoufang/101101071091.html
602,长龙苑小区3室2厅345万,2017-01-13,长龙苑小区,房山,长阳,, 五至六环,345,33046,104.4,2001年建/板楼,3室2厅,高楼层/共6层,南,精装,http://bj.lianjia.com/ershoufang/101101071090.html
603,公园五号3室2厅980万,2017-01-13,公园五号,朝阳,甜水园,, 三至四环,980,79565,123.17,1999年建/板楼,3室2厅,低楼层/共7层,东南北,平层/精装,http://bj.lianjia.com/ershoufang/101101071079.html
604,蓝岸丽舍一期6室2厅1500万,2017-01-13,蓝岸丽舍一期,顺义,顺义其它,, 六环外,1500,41579,360.76,未知年建,6室2厅,共2层,东南西北,其他,http://bj.lianjia.com/ershoufang/101101071072.html
605,奥林匹克花园一期3室3厅1350万,2017-01-13,奥林匹克花园一期,朝阳,东坝,, 五至六环,1350,82137,164.36,2003年建/板楼,3室3厅,低楼层/共7层,南北,精装,http://bj.lianjia.com/ershoufang/101101071058.html
606,西湖新村1室1厅250万,2017-01-13,西湖新村,昌平,北七家,, 五至六环,250,43104,58,2000年建/板楼,1室1厅,中楼层/共6层,北,平层/精装,http://bj.lianjia.com/ershoufang/101101071034.html
607,北苑清友园西南大一居精装自住看房方便,2017-01-13,北苑家园清友园,朝阳,北苑,, 五至六环,465,58344,79.7,2003年建/塔楼,1室1厅,高楼层/共25层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101070992.html
608,富贵园四区1室1厅665万,2017-01-13,富贵园四区,东城,东花市,, 二环内,665,115773,57.44,2006年建/板塔结合,1室1厅,低楼层/共10层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070971.html
609,三季靠谱优质房源，快来签约啦。,2017-01-13,福城上上城三季,燕郊,燕郊城区,, ,330,28050,117.65,2010年建/板塔结合,2室1厅,低楼层/共23层,南北,其他,http://bj.lianjia.com/ershoufang/101101070949.html
610,炫特嘉园二期1室1厅399万,2017-01-13,炫特嘉园二期,朝阳,石佛营,, 四至五环,399,62082,64.27,2005年建/塔楼,1室1厅,低楼层/共24层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070947.html
611,永泰西里2室1厅498万,2017-01-13,永泰西里,海淀,清河,, 五至六环,498,77571,64.2,1996年建/板楼,2室1厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101070941.html
612,炫立方1室0厅125万,2017-01-13,炫立方,顺义,顺义其它,, 五至六环,125,28275,44.21,2012年建/塔楼,1室0厅,低楼层/共10层,东,精装,http://bj.lianjia.com/ershoufang/101101070938.html
613,东向一居室房本满5年，没有贷款,2017-01-13,沿海赛洛城,朝阳,百子湾,, 四至五环,390,68099,57.27,2008年建/板塔结合,1室1厅,中楼层/共25层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070910.html
614,万寿路12号院，两居室，满五年已购公房，免个税。,2017-01-13,万寿路12号院,海淀,公主坟,, 三至四环,550,94992,57.9,1994年建/板楼,2室1厅,低楼层/共6层,东西,平层/简装,http://bj.lianjia.com/ershoufang/101101070895.html
615,荣丰20081室0厅355万,2017-01-13,荣丰2008,西城,广安门,, 二至三环,355,96863,36.65,2003年建/塔楼,1室0厅,低楼层/共26层,西,平层/精装,http://bj.lianjia.com/ershoufang/101101070892.html
616,融华世家3室2厅750万,2017-01-13,融华世家,朝阳,亚运村小营,, 四至五环,750,55556,135,2010年建/板楼,3室2厅,低楼层/共25层,南,精装,http://bj.lianjia.com/ershoufang/101101070884.html
617,满五年无个税安静诚意出售看房方便,2017-01-13,丽景馨居,朝阳,甘露园,, 四至五环,430,53825,79.89,2001年建/塔楼,2室1厅,低楼层/共16层,西北,复式/精装,http://bj.lianjia.com/ershoufang/101101070878.html
618,润泽悦溪2室1厅750万,2017-01-13,润泽悦溪,朝阳,北苑,, 五至六环,750,85774,87.44,2010年建/板楼,2室1厅,低楼层/共9层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070871.html
619,春华屋3室1厅720万,2017-01-13,春华屋,亦庄开发区,亦庄,, 五至六环,720,44610,161.4,2000年建/板塔结合,3室1厅,高楼层/共11层,南北,错层/精装,http://bj.lianjia.com/ershoufang/101101070852.html
620,政通路西里3室1厅245万,2017-01-13,政通路西里,房山,良乡,, 五至六环,245,29437,83.23,2001年建/板楼,3室1厅,低楼层/共6层,东西,精装,http://bj.lianjia.com/ershoufang/101101070850.html
621,芳城园一区3室1厅650万,2017-01-13,芳城园一区,丰台,方庄,, 二至三环,650,68675,94.65,1994年建/塔楼,3室1厅,高楼层/共28层,东南,平层/简装,http://bj.lianjia.com/ershoufang/101101070839.html
622,车站中里2室1厅302万,2017-01-13,车站中里,大兴,黄村火车站,, 五至六环,302,42494,71.07,1996年建/板楼,2室1厅,高楼层/共6层,南北,其他,http://bj.lianjia.com/ershoufang/101101070836.html
623,房子南北通透，满五，，，，，,2017-01-13,福城上上城五期,燕郊,燕郊城区,, ,230,28600,80.42,2009年建/板楼,2室1厅,低楼层/共18层,南北,其他,http://bj.lianjia.com/ershoufang/101101070829.html
624,沿海赛洛城南向高层开间视野开阔业主诚心出售装修好,2017-01-13,沿海赛洛城,朝阳,百子湾,, 四至五环,410,72721,56.38,2007年建/板塔结合,1室0厅,中楼层/共24层,南,精装,http://bj.lianjia.com/ershoufang/101101070717.html
625,鸿顺园西区3室2厅430万,2017-01-13,鸿顺园西区,房山,良乡,, 五至六环,430,36790,116.88,2005年建/板楼,3室2厅,高楼层/共6层,南北,简装,http://bj.lianjia.com/ershoufang/101101070702.html
626,南北三居，高楼层，前后观景，居住舒适,2017-01-13,富力又一城A区,朝阳,豆各庄,, 五至六环,820,53396,153.57,2005年建/板楼,3室2厅,中楼层/共22层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070695.html
627,地杰长安驿1室0厅400万,2017-01-13,地杰长安驿,朝阳,建国门外,, 二至三环,400,87971,45.47,2007年建/塔楼,1室0厅,高楼层/共27层,南,平层/其他,http://bj.lianjia.com/ershoufang/101101070654.html
628,东贸国际西向开间业主诚心出售,2017-01-13,东贸国际,燕郊,燕郊城区,, ,140,30995,45.17,2009年建/塔楼,1室0厅,低楼层/共27层,西,简装,http://bj.lianjia.com/ershoufang/101101070621.html
629,欧式简约装修电梯花园洋房房本满二年,2017-01-13,龙湖香醍漫步四区北区,顺义,顺义其它,, 六环外,490,49252,99.49,2010年建/板楼,3室2厅,高楼层/共8层,南北,精装,http://bj.lianjia.com/ershoufang/101101070589.html
630,芭蕾雨悦都南区3室1厅385万,2017-01-13,芭蕾雨悦都南区,房山,长阳,, ,385,60157,64,2012年建/板楼,3室1厅,高楼层/共9层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070579.html
631,芭蕾雨悦都南区3室1厅385万,2017-01-13,芭蕾雨悦都南区,房山,长阳,, ,385,60157,64,2012年建/板楼,3室1厅,高楼层/共9层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070579.html
632,西北向精装两居室，高楼层，视野好，采光充足,2017-01-13,工体东路,朝阳,东大桥,, 二至三环,400,80825,49.49,1982年建/板塔结合,1室1厅,高楼层/共12层,西北,简装,http://bj.lianjia.com/ershoufang/101101070556.html
633,北京苏活四区2室1厅330万,2017-01-13,北京苏活四区,顺义,顺义其它,, 五至六环,330,36905,89.42,未知年建,2室1厅,高楼层/共11层,南北,平层/其他,http://bj.lianjia.com/ershoufang/101101070545.html
634,八区少有户型，满二年，拎包入住,2017-01-13,北街家园八区,昌平,沙河,, 五至六环,280,42554,65.8,2010年建/板塔结合,2室1厅,高楼层/共18层,东,精装,http://bj.lianjia.com/ershoufang/101101070537.html
635,融泽嘉园2室1厅535万,2017-01-13,融泽嘉园,昌平,回龙观,, 五至六环,535,55155,97,2014年建/板楼,2室1厅,低楼层/共27层,南北,平层/其他,http://bj.lianjia.com/ershoufang/101101070519.html
636,融泽嘉园南北通透两居室采光好无遮挡,2017-01-13,融泽嘉园,昌平,回龙观,, 五至六环,555,59949,92.58,2014年建/板楼,2室1厅,低楼层/共27层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101070513.html
637,富力又一城经典开间，满五年。精装修现房。,2017-01-13,富力又一城C区,朝阳,豆各庄,, 五至六环,280,59575,47,2010年建/板楼,1室0厅,低楼层/共18层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101070505.html
638,此房满五年业主在京无其他房产不临街，楼层好没有遮挡,2017-01-13,双井东院,朝阳,双井,, 三至四环,360,75806,47.49,1979年建/板楼,1室1厅,低楼层/共6层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101070495.html
639,标准地铁房，观景楼层，精装修，带车位,2017-01-13,旗胜家园,昌平,西三旗,, 五至六环,385,44233,87.04,2009年建/板塔结合,2室1厅,高楼层/共28层,南,精装,http://bj.lianjia.com/ershoufang/101101070478.html
640,和风四季2室2厅700万,2017-01-13,和风四季,丰台,五里店,, 四至五环,700,56580,123.72,2007年建/板塔结合,2室2厅,中楼层/共21层,南,精装,http://bj.lianjia.com/ershoufang/101101070476.html
641,福成公寓B1室1厅195万,2017-01-13,福成公寓B,燕郊,燕郊城区,, ,195,26968,72.31,2008年建/板塔结合,1室1厅,中楼层/共32层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101070472.html
642,长阳半岛南北两居，可随时签约，看房方便,2017-01-13,长阳半岛2号院,房山,长阳,, 五至六环,375,42784,87.65,2011年建/板塔结合,2室1厅,高楼层/共28层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070467.html
643,芍药居2号院1室1厅430万,2017-01-13,芍药居2号院,朝阳,芍药居,, 三至四环,430,95365,45.09,1999年建/板楼,1室1厅,中楼层/共6层,西,精装,http://bj.lianjia.com/ershoufang/101101070453.html
644,商品房东南向电梯精装两居室,2017-01-13,天通苑东一区,昌平,天通苑,, 五至六环,422,39718,106.25,2000年建/塔楼,2室1厅,中楼层/共18层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101070446.html
645,卡布其诺1室1厅460万,2017-01-13,卡布其诺,朝阳,酒仙桥,, 四至五环,460,79516,57.85,2005年建/板楼,1室1厅,低楼层/共9层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101070440.html
646,鹿港嘉苑2室1厅800万,2017-01-13,鹿港嘉苑,朝阳,望京,, 三至四环,800,91013,87.9,2003年建/板塔结合,2室1厅,中楼层/共23层,东西,简装,http://bj.lianjia.com/ershoufang/101101070426.html
647,金地格林格林2室1厅370万,2017-01-13,金地格林格林,通州,北关,, ,370,49893,74.16,2013年建/板楼,2室1厅,中楼层/共18层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101070416.html
648,满五年只有契税近地铁南北朝向两居,2017-01-13,莲竹花园,顺义,中央别墅区,, 五至六环,340,44013,77.25,2001年建/板楼,2室1厅,低楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101070409.html
649,六里桥太平桥西里正规两居塔楼带电梯,2017-01-13,太平桥西里,丰台,太平桥,, 二至三环,436,60759,71.76,1993年建/塔楼,2室1厅,低楼层/共21层,东北,简装,http://bj.lianjia.com/ershoufang/101101070391.html
650,万方家园南北通透两居室满五年临地铁,2017-01-13,万方家园,朝阳,管庄,, 五至六环,460,51785,88.83,2006年建/板楼,2室1厅,低楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070362.html
651,昊文温泉家园3室1厅285万,2017-01-13,昊文温泉家园,房山,良乡,, ,285,21523,132.42,2000年建/板楼,3室1厅,高楼层/共6层,南北,精装,http://bj.lianjia.com/ershoufang/101101070360.html
652,华威西里南北通透三居室改两居室的精装修,2017-01-13,华威西里,朝阳,潘家园,, 二至三环,480,63771,75.27,1994年建/板楼,3室1厅,高楼层/共6层,南北,其他,http://bj.lianjia.com/ershoufang/101101070346.html
653,首尔甜城一期2室1厅275万,2017-01-13,首尔甜城一期,燕郊,燕郊城区,, ,275,36090,76.2,2014年建/塔楼,2室1厅,低楼层/共33层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101070345.html
654,怡海花园富泽园满五年税费少安静,2017-01-13,怡海花园富泽园,丰台,科技园区,, 三至四环,699,66445,105.2,2001年建/塔楼,2室1厅,低楼层/共30层,西北,简装,http://bj.lianjia.com/ershoufang/101101070336.html
655,春荫园3室2厅1530万,2017-01-13,春荫园,海淀,世纪城,, 三至四环,1530,113984,134.23,2004年建/板楼,3室2厅,中楼层/共13层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070302.html
656,亚运花园满五年三居室三居双卫,2017-01-13,亚运花园,朝阳,亚运村小营,, 四至五环,829,57734,143.59,1996年建/塔楼,3室2厅,中楼层/共18层,西北,简装,http://bj.lianjia.com/ershoufang/101101070297.html
657,安慧里四区2室1厅600万,2017-01-13,安慧里四区,朝阳,亚运村,, 四至五环,600,79788,75.2,1991年建/塔楼,2室1厅,中楼层/共20层,西南,平层/简装,http://bj.lianjia.com/ershoufang/101101070271.html
658,【东向一居室】【采光视野好】【生活方便】【管理好】,2017-01-13,朝阳门南大街,朝阳,朝阳门外,, 二至三环,390,83962,46.45,1982年建/塔楼,1室1厅,中楼层/共16层,东,简装,http://bj.lianjia.com/ershoufang/101101070264.html
659,华纺易城2室1厅730万,2017-01-13,华纺易城,朝阳,朝青,, 四至五环,730,84707,86.18,2006年建/板楼,2室1厅,高楼层/共15层,南,平层/其他,http://bj.lianjia.com/ershoufang/101101070258.html
660,钻河公馆东南向大开间，带阳台，采光充足,2017-01-13,钻河公馆,海淀,西直门,, 二至三环,345,46371,74.4,2009年建/板塔结合,1室0厅,低楼层/共14层,东南,平层/简装,http://bj.lianjia.com/ershoufang/101101070227.html
661,钻河公馆东南向大开间，带阳台，采光充足,2017-01-13,钻河公馆,海淀,西直门,, 二至三环,345,46371,74.4,2009年建/板塔结合,1室0厅,低楼层/共14层,东南,平层/简装,http://bj.lianjia.com/ershoufang/101101070227.html
662,成寿寺25号院精装修2居室东南朝向采光充足,2017-01-13,成寿寺路25号院,丰台,成寿寺,, 三至四环,600,61219,98.01,2000年建/塔楼,2室1厅,低楼层/共25层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101070224.html
663,兴海家园南北通透两居采光好楼层好,2017-01-13,兴海家园月苑,大兴,西红门,, 四至五环,430,56579,76,2006年建/板楼,2室1厅,中楼层/共6层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070216.html
664,远洋新干线4室3厅2000万,2017-01-13,远洋新干线,朝阳,燕莎,, 二至三环,2000,59965,333.53,2005年建/塔楼,4室3厅,高楼层/共23层,东南,简装,http://bj.lianjia.com/ershoufang/101101070202.html
665,春园3室2厅750万,2017-01-13,春园,丰台,青塔,, 四至五环,750,58289,128.67,2002年建/板塔结合,3室2厅,高楼层/共8层,南,精装,http://bj.lianjia.com/ershoufang/101101070185.html
666,新景西区南北通透前后不临街精装修大两居,2017-01-13,新景家园西区,东城,崇文门,, 二环内,850,104732,81.16,2004年建/板塔结合,2室1厅,高楼层/共17层,南北,精装,http://bj.lianjia.com/ershoufang/101101070154.html
667,美式亲水庭院建筑双卧室客厅朝南满五,2017-01-13,美利新世界,大兴,旧宫,, 四至五环,600,46186,129.91,2004年建/板楼,3室2厅,高楼层/共6层,南北,其他,http://bj.lianjia.com/ershoufang/101101070145.html
668,民安小区东直门北中街2室1厅820万,2017-01-13,民安小区东直门北中街,东城,东直门,, 二环内,820,114702,71.49,2002年建/板塔结合,2室1厅,中楼层/共11层,南,平层/简装,http://bj.lianjia.com/ershoufang/101101070135.html
669,锋创科技园1室0厅155万,2017-01-13,锋创科技园,亦庄开发区,亦庄,, 五至六环,155,28004,55.35,2012年建/塔楼,1室0厅,中楼层/共19层,南,其他,http://bj.lianjia.com/ershoufang/101101070129.html
670,首尔甜城一期2室1厅250万,2017-01-13,首尔甜城一期,燕郊,燕郊城区,, ,250,32472,76.99,2014年建/塔楼,2室1厅,高楼层/共32层,南,毛坯,http://bj.lianjia.com/ershoufang/101101070128.html
671,华腾园3室1厅1036万,2017-01-13,华腾园,朝阳,劲松,, 三至四环,1036,70290,147.39,2003年建/塔楼,3室1厅,低楼层/共25层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101070098.html
672,兴政西里2室1厅230万,2017-01-13,兴政西里,大兴,黄村中,, 五至六环,230,41360,55.61,1979年建/板楼,2室1厅,中楼层/共6层,南北,平层/其他,http://bj.lianjia.com/ershoufang/101101070085.html
673,安慧里二区2室1厅550万,2017-01-13,安慧里二区,朝阳,亚运村,, 四至五环,550,99928,55.04,1988年建/塔楼,2室1厅,高楼层/共25层,东北,精装,http://bj.lianjia.com/ershoufang/101101070083.html
674,曙光花园2室1厅732万,2017-01-13,曙光花园,海淀,四季青,, 三至四环,732,95127,76.95,2001年建/塔楼,2室1厅,低楼层/共17层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101070073.html
675,华贸城东向正规精装一居室满两年配套成熟出行方便,2017-01-13,华贸城,朝阳,北苑,, 五至六环,460,68719,66.94,2011年建/板塔结合,1室1厅,中楼层/共28层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070070.html
676,华贸城东向方正一居室中间楼层满两年视野无遮挡,2017-01-13,华贸城,朝阳,北苑,, 五至六环,460,68987,66.68,2011年建/板塔结合,1室1厅,中楼层/共28层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070065.html
677,天通苑东一区4室1厅475万,2017-01-13,天通苑东一区,昌平,天通苑,, 五至六环,475,26663,178.15,2000年建/塔楼,4室1厅,低楼层/共32层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101070060.html
678,保利金泉东向一居2梯3户闹中取静,2017-01-13,保利金泉,朝阳,亚运村,, 四至五环,630,76179,82.7,2008年建/板塔结合,1室1厅,低楼层/共30层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101070056.html
679,福城上上城三季2室1厅259万,2017-01-13,福城上上城三季,燕郊,燕郊城区,, ,259,29747,87.07,2010年建/板塔结合,2室1厅,中楼层/共15层,南北,精装,http://bj.lianjia.com/ershoufang/101101070033.html
680,锋创科技园1室1厅130万,2017-01-13,锋创科技园,亦庄开发区,亦庄,, 五至六环,130,28434,45.72,2012年建/塔楼,1室1厅,高楼层/共19层,北,平层/精装,http://bj.lianjia.com/ershoufang/101101070013.html
681,阳光上东2室1厅850万,2017-01-13,阳光上东,朝阳,酒仙桥,, 四至五环,850,91892,92.5,2005年建/板楼,2室1厅,中楼层/共11层,西南,精装,http://bj.lianjia.com/ershoufang/101101070002.html
682,湖景苑3室2厅1700万,2017-01-13,湖景苑,东城,安定门,, 二至三环,1700,107889,157.57,1999年建/板塔结合,3室2厅,高楼层/共8层,东南西北,简装,http://bj.lianjia.com/ershoufang/101101069999.html
683,冠雅苑2室1厅309万,2017-01-13,冠雅苑,昌平,北七家,, 五至六环,309,44461,69.5,2000年建/板楼,2室1厅,低楼层/共6层,东西,平层/简装,http://bj.lianjia.com/ershoufang/101101069997.html
684,林肯二期新房三居室从未入住诚心出售,2017-01-13,林肯公园二期A区,亦庄开发区,亦庄,, ,660,45030,146.57,2014年建/塔楼,3室1厅,中楼层/共22层,西北,精装,http://bj.lianjia.com/ershoufang/101101069967.html
685,环山村2室1厅430万,2017-01-13,环山村,海淀,海淀北部新区,, 五至六环,430,59681,72.05,2000年建/板楼,2室1厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101069948.html
686,南北两居，成心出售.业主北京换房。,2017-01-13,福城上上城五期,燕郊,燕郊城区,, ,220,25671,85.7,2009年建/板楼,2室1厅,中楼层/共28层,南北,平层/其他,http://bj.lianjia.com/ershoufang/101101069934.html
687,太月园2室1厅750万,2017-01-13,太月园,海淀,知春路,, 二至三环,750,83204,90.14,1999年建/塔楼,2室1厅,中楼层/共27层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101069881.html
688,永乐西区南北通透三居室税少阳光房有钥匙随时看,2017-01-13,永乐西区,石景山,鲁谷,, 四至五环,412,53438,77.1,1986年建/板楼,3室1厅,高楼层/共6层,东南北,平层/简装,http://bj.lianjia.com/ershoufang/101101069819.html
689,远洋山水3室2厅880万,2017-01-13,远洋山水,石景山,鲁谷,, 四至五环,880,60947,144.39,2007年建/板塔结合,3室2厅,低楼层/共27层,南北,精装,http://bj.lianjia.com/ershoufang/101101069807.html
690,新桥大街26号院2室1厅280万,2017-01-13,新桥大街26号院,门头沟,城子,, ,280,40230,69.6,1990年建/板楼,2室1厅,中楼层/共5层,南北,简装,http://bj.lianjia.com/ershoufang/101101069801.html
691,北京像素南区1室0厅200万,2017-01-13,北京像素南区,朝阳,常营,, 五至六环,200,38588,51.83,2012年建/板塔结合,1室0厅,中楼层/共23层,西南,平层/精装,http://bj.lianjia.com/ershoufang/101101069800.html
692,东湖湾二期2室2厅1950万,2017-01-13,东湖湾二期,朝阳,望京,, 四至五环,1950,101463,192.19,2010年建/板楼,2室2厅,低楼层/共28层,南北,平层/精装,http://bj.lianjia.com/ershoufang/101101069792.html
693,恒基中心1室1厅753万,2017-01-13,恒基中心,东城,建国门外,, 二环内,753,40015,188.18,1993年建/塔楼,1室1厅,低楼层/共23层,西,其他,http://bj.lianjia.com/ershoufang/101101069770.html
694,首邑溪谷3室1厅505万,2017-01-13,首邑溪谷,大兴,枣园,, 五至六环,505,76795,65.76,2012年建/塔楼,3室1厅,高楼层/共16层,南北,精装,http://bj.lianjia.com/ershoufang/101101069748.html
695,此房满五，精装，南向两居室，中间,2017-01-13,时尚街区西区,通州,梨园,, 五至六环,498,56272,88.5,2004年建/板塔结合,2室1厅,中楼层/共10层,南,平层/精装,http://bj.lianjia.com/ershoufang/101101069726.html
696,皂君东里南北通透三居室1994年钢混结构,2017-01-13,皂君东里,海淀,皂君庙,, 二至三环,700,96022,72.9,1994年建/板楼,3室1厅,高楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101069700.html
697,新街口西里一区2室1厅760万,2017-01-13,新街口西里一区,西城,新街口,, 二环内,760,110594,68.72,2003年建/板楼,2室1厅,中楼层/共6层,西,精装,http://bj.lianjia.com/ershoufang/101101069690.html
698,保利海德公园1室1厅688万,2017-01-13,保利海德公园,海淀,知春路,, 三至四环,688,123320,55.79,未知年建/板楼,1室1厅,中楼层/共10层,东南,其他,http://bj.lianjia.com/ershoufang/101101069685.html
699,和平街十区2室1厅580万,2017-01-13,和平街十区,朝阳,和平里,, 二至三环,580,87350,66.4,1994年建/板楼,2室1厅,低楼层/共6层,南北,平层/简装,http://bj.lianjia.com/ershoufang/101101069661.html
700,玺萌鹏苑3室1厅720万,2017-01-13,玺萌鹏苑,丰台,草桥,, 三至四环,720,62069,116,2002年建/塔楼,3室1厅,低楼层/共24层,东,平层/精装,http://bj.lianjia.com/ershoufang/101101069659.html
701,首尔甜城一期2室1厅270万,2017-01-13,首尔甜城一期,燕郊,燕郊城区,, ,270,31363,86.09,2014年建/塔楼,2室1厅,中楼层/共33层,南,其他,http://bj.lianjia.com/ershoufang/101101069653.html
702,香悦四季1室0厅80万,2017-01-13,香悦四季,顺义,马坡,, 六环外,80,24243,33,2012年建/板楼,1室0厅,高楼层/共15层,西,毛坯,http://bj.lianjia.com/ershoufang/101101069652.html
703,天通西苑三区3室2厅620万,2017-01-13,天通西苑三区,昌平,天通苑,, 五至六环,620,34897,177.67,2003年建/塔楼,3室2厅,高楼层/共32层,东南,平层/精装,http://bj.lianjia.com/ershoufang/101101069647.html
704,中信新城东区大三居室，南北通透，东边户,2017-01-13,中信新城东区,亦庄开发区,亦庄开发区其它,, ,860,50015,171.95,2013年建/板楼,3室2厅,低楼层/共18层,南北,毛坯,http://bj.lianjia.com/ershoufang/101101069646.html
705,华远铭悦2室1厅435万,2017-01-13,华远铭悦,通州,临河里,, ,435,53658,81.07,2012年建/板塔结合,2室1厅,中楼层/共27层,南北,精装,http://bj.lianjia.com/ershoufang/101101069641.html
